employee_id,employer_id,max_earnings,pay_period_start
EE_0001,EMP_001,880.03,2026-09-01
EE_0002,EMP_003,1583.65,2026-09-01
EE_0003,EMP_002,3156.71,2026-09-01
EE_0004,EMP_005,1078.2,2026-09-01
EE_0005,EMP_004,901.7,2026-09-01
EE_0006,EMP_001,1499.64,2026-09-01
EE_0007,EMP_005,2726.46,2026-09-01
EE_0008,EMP_005,1436.28,2026-09-01
EE_0009,EMP_005,2142.46,2026-09-01
EE_0010,EMP_004,2685.65,2026-09-01
EE_0011,EMP_001,3228.18,2026-09-01
EE_0012,EMP_002,3034.05,2026-09-01
EE_0013,EMP_003,1689.19,2026-09-01
EE_0014,EMP_002,3863.08,2026-09-01
EE_0015,EMP_003,1127.07,2026-09-01
EE_0016,EMP_004,1109.49,2026-09-01
EE_0017,EMP_003,2731.92,2026-09-01
EE_0018,EMP_001,3135.14,2026-09-01
EE_0019,EMP_005,1199.44,2026-09-01
EE_0020,EMP_004,1052.16,2026-09-01
EE_0021,EMP_003,3454.09,2026-09-01
EE_0022,EMP_005,3633.45,2026-09-01
EE_0023,EMP_003,2647.53,2026-09-01
EE_0024,EMP_001,946.64,2026-09-01
EE_0025,EMP_002,3273.82,2026-09-01
EE_0026,EMP_001,3537.02,2026-09-01
EE_0027,EMP_001,2016.4,2026-09-01
EE_0028,EMP_004,2834.19,2026-09-01
EE_0029,EMP_003,1320.49,2026-09-01
EE_0030,EMP_003,1470.42,2026-09-01
EE_0031,EMP_003,3045.83,2026-09-01
EE_0032,EMP_001,2749.22,2026-09-01
EE_0033,EMP_002,2509.25,2026-09-01
EE_0034,EMP_002,1322.89,2026-09-01
EE_0035,EMP_004,1663.83,2026-09-01
EE_0036,EMP_005,1502.77,2026-09-01
EE_0037,EMP_003,3497.13,2026-09-01
EE_0038,EMP_001,1532.95,2026-09-01
EE_0039,EMP_001,3376.15,2026-09-01
EE_0040,EMP_004,1656.77,2026-09-01
EE_0041,EMP_002,3722.04,2026-09-01
EE_0042,EMP_005,3604.38,2026-09-01
EE_0043,EMP_003,1480.4,2026-09-01
EE_0044,EMP_004,2066.02,2026-09-01
EE_0045,EMP_004,1257.19,2026-09-01
EE_0046,EMP_002,1589.21,2026-09-01
EE_0047,EMP_005,2524.73,2026-09-01
EE_0048,EMP_005,2170.99,2026-09-01
EE_0049,EMP_005,2078.08,2026-09-01
EE_0050,EMP_002,3991.44,2026-09-01
